FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
56,1769589431403,0.622230,87.9155,527.7054,-390.1516,0.519348,0.482614,-0.417775,0.568178,1.219953,1.133665,-0.981356,-0.394496,-0.287733,0.256712,2.513015,-1.559865,-0.152891,87.905529,527.703419,-390.127148,0.519351,0.482601,-0.417789,0.568176
57,1769589431414,0.633341,87.8921,527.6962,-390.0701,0.519362,0.482580,-0.417779,0.568190,1.219980,1.133579,-0.981362,-0.394506,-0.287725,0.256707,2.512993,-1.559884,-0.152877,87.874810,527.702562,-390.095205,0.519366,0.482578,-0.417774,0.568192
58,1769589431425,0.644452,87.8283,527.6749,-390.0471,0.519376,0.482554,-0.417776,0.568202,1.220006,1.133513,-0.981351,-0.394501,-0.287736,0.256733,2.512951,-1.559843,-0.152904,87.874838,527.671286,-390.080652,0.519362,0.482562,-0.417782,0.568203
59,1769589431436,0.655563,87.8968,527.6642,-390.1203,0.519364,0.482530,-0.417791,0.568222,1.219967,1.133447,-0.981377,-0.394512,-0.287727,0.256710,2.512979,-1.559899,-0.152894,87.890838,527.655800,-390.073762,0.519352,0.482534,-0.417796,0.568226
60,1769589431447,0.666674,87.9444,527.6163,-390.0674,0.519322,0.482539,-0.417822,0.568231,1.219865,1.133463,-0.981446,-0.394510,-0.287716,0.256703,2.513011,-1.559927,-0.152896,87.928757,527.647229,-390.063757,0.519356,0.482523,-0.417805,0.568226
61,1769589431458,0.677786,87.9399,527.6610,-390.0464,0.519360,0.482504,-0.417796,0.568244,1.219948,1.133374,-0.981379,-0.394506,-0.287737,0.256724,2.512937,-1.559893,-0.152858,87.937295,527.642729,-390.058181,0.519363,0.482525,-0.417799,0.568220
62,1769589431469,0.688897,87.9356,527.6428,-390.0132,0.519411,0.482535,-0.417791,0.568175,1.220101,1.133480,-0.981397,-0.394516,-0.287733,0.256726,2.512935,-1.559875,-0.152875,87.901481,527.631367,-390.045229,0.519378,0.482534,-0.417790,0.568207
63,1769589431481,0.700008,87.8173,527.6171,-390.0869,0.519378,0.482554,-0.417760,0.568213,1.220005,1.133507,-0.981308,-0.394510,-0.287724,0.256722,2.512965,-1.559895,-0.152896,87.862390,527.620700,-390.052876,0.519388,0.482537,-0.417772,0.568208
64,1769589431492,0.711119,87.8309,527.5892,-390.0570,0.519380,0.482540,-0.417780,0.568207,1.220013,1.133477,-0.981357,-0.394502,-0.287721,0.256726,2.512965,-1.559895,-0.152896,87.836281,527.593852,-390.044848,0.519378,0.482544,-0.417768,0.568214
65,1769589431503,0.722230,87.8468,527.5988,-390.0375,0.519369,0.482527,-0.417752,0.568249,1.219967,1.133425,-0.981273,-0.394516,-0.287720,0.256714,2.512970,-1.559897,-0.152881,87.827267,527.608314,-390.049762,0.519387,0.482535,-0.417756,0.568223
66,1769589431514,0.733341,87.8406,527.6119,-390.0180,0.519393,0.482529,-0.417766,0.568215,1.220040,1.133447,-0.981321,-0.394537,-0.287688,0.256709,2.512922,-1.560007,-0.152889,87.849252,527.627029,-390.057857,0.519396,0.482524,-0.417761,0.568220
67,1769589431525,0.744453,87.8439,527.6955,-390.1022,0.519442,0.482514,-0.417740,0.568202,1.220161,1.133419,-0.981266,-0.394538,-0.287685,0.256719,2.512872,-1.560048,-0.152897,87.841576,527.649676,-390.076924,0.519398,0.482513,-0.417763,0.568226
68,1769589431536,0.755564,87.8482,527.6379,-390.1042,0.519369,0.482505,-0.417792,0.568239,1.219971,1.133379,-0.981371,-0.394522,-0.287701,0.256699,2.512974,-1.559978,-0.152852,87.823571,527.669090,-390.063710,0.519402,0.482502,-0.417764,0.568232
