FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
51,1769589272959,0.566673,-0.394414,-0.287869,0.256713,0.51929,0.482776,-0.417663,0.568175,1.219818,1.134047,-0.981096,-0.394414,-0.287869,0.256713,2.513268,-1.559391,-0.152844,-0.392961,-0.292812,0.265086,2.691722,-1.411528,-0.096624
52,1769589272970,0.577785,-0.394412,-0.287869,0.256689,0.519245,0.482778,-0.417707,0.568182,1.219709,1.134048,-0.981195,-0.394412,-0.287869,0.256689,2.513294,-1.559433,-0.152807,-0.393045,-0.292805,0.265049,2.691793,-1.41142,-0.096762
53,1769589272981,0.588896,-0.394422,-0.287875,0.256709,0.519224,0.482761,-0.417712,0.568212,1.219643,1.133994,-0.981196,-0.394422,-0.287875,0.256709,2.513221,-1.55942,-0.152809,-0.393066,-0.292866,0.265062,2.691779,-1.411448,-0.096883
54,1769589272993,0.600007,-0.394419,-0.287868,0.25671,0.519236,0.482757,-0.417693,0.568219,1.219669,1.13398,-0.981146,-0.394419,-0.287868,0.25671,2.513221,-1.559441,-0.1528,-0.393051,-0.29289,0.265087,2.691726,-1.411492,-0.096859
55,1769589273004,0.611118,-0.394434,-0.287853,0.256709,0.519233,0.482786,-0.41768,0.568207,1.219668,1.134054,-0.981123,-0.394434,-0.287853,0.256709,2.513217,-1.559466,-0.152867,-0.393065,-0.292913,0.265086,2.691716,-1.411434,-0.096806
56,1769589273015,0.622229,-0.394416,-0.287864,0.256713,0.519241,0.482764,-0.417672,0.568224,1.219678,1.133994,-0.981097,-0.394416,-0.287864,0.256713,2.513212,-1.559473,-0.152816,-0.392927,-0.292835,0.265134,2.691674,-1.411507,-0.096837
57,1769589273026,0.633341,-0.394409,-0.287877,0.256697,0.519228,0.482781,-0.417664,0.568227,1.219646,1.134034,-0.981076,-0.394409,-0.287877,0.256697,2.513247,-1.559454,-0.152759,-0.392931,-0.292819,0.265124,2.69164,-1.411455,-0.096846
58,1769589273037,0.644452,-0.394423,-0.287855,0.256703,0.519235,0.482771,-0.417639,0.568247,1.219651,1.134,-0.98101,-0.394423,-0.287855,0.256703,2.513199,-1.559499,-0.15279,-0.392862,-0.292781,0.265112,2.691589,-1.411535,-0.096859
59,1769589273048,0.655563,-0.394413,-0.287873,0.256708,0.519235,0.48279,-0.417632,0.568237,1.219657,1.13405,-0.980997,-0.394413,-0.287873,0.256708,2.513219,-1.559448,-0.152764,-0.392849,-0.292731,0.265142,2.691572,-1.411488,-0.096816
60,1769589273059,0.666674,-0.394419,-0.287867,0.256726,0.519246,0.482775,-0.417645,0.568229,1.219688,1.134018,-0.98103,-0.394419,-0.287867,0.256726,2.513201,-1.559421,-0.152871,-0.392858,-0.292707,0.265129,2.691622,-1.411523,-0.096801
