X_mm,Y_mm,Z_mm
151.0802,506.9382,-436.3080
151.0928,506.9356,-435.9748
151.1007,506.9260,-435.6416
151.1064,506.9131,-435.3083
151.1132,506.9026,-434.9751
151.1261,506.9027,-434.6425
151.1479,506.9190,-434.3107
151.1735,506.9447,-433.9793
151.1931,506.9725,-433.6480
151.1968,507.0005,-433.3166
151.1850,507.0275,-432.9850
151.1714,507.0475,-432.6532
151.1699,507.0515,-432.3214
151.1835,507.0394,-431.9895
151.2080,507.0263,-431.6584
151.2448,507.0328,-431.3296
151.2956,507.0670,-431.0037
151.3520,507.1149,-430.6791
151.4006,507.1594,-430.3529
151.4328,507.1925,-430.0235
151.4540,507.2177,-429.6918
151.4727,507.2378,-429.3596
151.4933,507.2449,-429.0276
151.5177,507.2306,-428.6962
151.5435,507.2038,-428.3651
151.5648,507.1794,-428.0338
151.5736,507.1687,-427.7019
151.5687,507.1728,-427.3693
151.5589,507.1788,-427.0369
151.5548,507.1657,-426.7060
151.5612,507.1222,-426.3774
151.5740,507.0615,-426.0502
151.5895,506.9998,-425.7230
151.6102,506.9481,-425.3947
151.6385,506.9122,-425.0649
151.6721,506.8867,-424.7341
151.7095,506.8685,-424.4034
151.7522,506.8597,-424.0729
151.7982,506.8576,-423.7426
151.8419,506.8576,-423.4120
151.8761,506.8579,-423.0806
151.8978,506.8575,-422.7480
151.9137,506.8536,-422.4152
151.9324,506.8373,-422.0833
151.9571,506.8028,-421.7532
151.9851,506.7587,-421.4240
152.0116,506.7184,-421.0942
152.0335,506.6907,-420.7632
152.0479,506.6748,-420.4314
152.0434,506.6616,-420.1022
151.9964,506.6424,-419.7809
151.9052,506.6151,-419.4680
151.8166,506.5852,-419.1550
151.7758,506.5577,-418.8335
151.7769,506.5327,-418.5046
151.7930,506.5083,-418.1729
151.8098,506.4835,-417.8407
151.8249,506.4580,-417.5084
151.8406,506.4345,-417.1765
151.8649,506.4232,-416.8467
151.9100,506.4405,-416.5217
151.9773,506.4887,-416.2019
152.0523,506.5483,-415.8838
152.1133,506.5930,-415.5623
152.1479,506.6085,-415.2343
152.1672,506.6093,-414.9027
152.1890,506.6236,-414.5730
152.2224,506.6712,-414.2485
152.2646,506.7450,-413.9280
152.3042,506.8202,-413.6070
152.3310,506.8776,-413.2815
