FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
82,1769589509458,0.911135,105.1141,537.2156,-392.1535,0.506059,0.501586,-0.477926,0.513714,1.216587,1.205835,-1.148956,-0.393073,-0.292519,0.265108,2.691181,-1.41232,-0.096569,104.986267,537.176138,-392.171429,0.506046,0.501655,-0.477850,0.513731
83,1769589509469,0.922246,104.8398,537.1351,-392.1704,0.506021,0.501712,-0.477742,0.5138,1.216451,1.206093,-1.14847,-0.393087,-0.292502,0.265113,2.691166,-1.412358,-0.096617,104.929281,537.153086,-392.164133,0.506081,0.501650,-0.477852,0.513699
84,1769589509480,0.933357,104.8013,537.1093,-392.1955,0.506147,0.501656,-0.477844,0.513636,1.216839,1.206043,-1.148796,-0.393076,-0.292518,0.265111,2.691156,-1.412329,-0.09656,104.873129,537.105748,-392.179276,0.506119,0.501638,-0.477849,0.513676
85,1769589509491,0.944468,104.9889,537.1115,-392.1266,0.506145,0.501578,-0.477964,0.513602,1.216854,1.205875,-1.149102,-0.393084,-0.292505,0.265108,2.691165,-1.412359,-0.096583,104.920690,537.110605,-392.145976,0.506145,0.501612,-0.477863,0.513664
86,1769589509502,0.95558,105.0375,537.1022,-392.146,0.506198,0.501577,-0.477829,0.513678,1.21694,1.205831,-1.148739,-0.393089,-0.292492,0.265119,2.691133,-1.412396,-0.09662,105.100433,537.173076,-392.099624,0.506133,0.501571,-0.477915,0.513667
87,1769589509513,0.966691,105.2272,537.2823,-392.0103,0.506061,0.501555,-0.477907,0.51376,1.216568,1.205736,-1.148886,-0.393112,-0.29247,0.265134,2.69107,-1.412443,-0.096656,105.189519,537.214310,-392.064162,0.506111,0.501572,-0.477880,0.513719
88,1769589509524,0.977802,105.2967,537.2739,-392.0524,0.506086,0.501611,-0.477881,0.513705,1.216657,1.205899,-1.148852,-0.393116,-0.292458,0.265138,2.691055,-1.412461,-0.096681,105.166933,537.222800,-392.066295,0.506159,0.501600,-0.477822,0.513699
89,1769589509535,0.988913,105.0322,537.1615,-392.0771,0.506247,0.501609,-0.477752,0.513669,1.217064,1.205913,-1.148559,-0.393132,-0.292449,0.265139,2.69103,-1.412503,-0.096706,105.140586,537.220548,-392.035043,0.506196,0.501598,-0.477837,0.513651
90,1769589509547,1.000025,105.0382,537.1663,-392.0676,0.506341,0.501625,-0.47779,0.513525,1.217366,1.206026,-1.148721,-0.393131,-0.292448,0.265144,2.691033,-1.412461,-0.096691,105.099962,537.197095,-392.042157,0.506265,0.501606,-0.477807,0.513603
91,1769589509558,1.011136,105.1885,537.2419,-391.9433,0.506218,0.501558,-0.47789,0.513618,1.217021,1.205817,-1.148916,-0.393123,-0.292457,0.265138,2.691015,-1.41247,-0.09659,105.138005,537.209105,-392.010348,0.506316,0.501619,-0.477777,0.513567
