,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad
1275,1776147902111,14.168001,-453.553,66.2,417.726,-0.170642,0.733696,-0.598502,0.272703,-0.45923,1.974514,-1.610684,-0.453553,0.0662,0.417726,1.003172,2.325668,0.002671
1276,1776147902122,14.179112,-453.551,66.255,417.703,-0.170096,0.734093,-0.598434,0.272123,-0.457896,1.976167,-1.610975,-0.453551,0.066255,0.417703,1.003299,2.325158,0.00286
1277,1776147902133,14.190224,-453.537,66.337,417.676,-0.170764,0.733676,-0.598192,0.27336,-0.459404,1.973804,-1.609312,-0.453537,0.066337,0.417676,1.003516,2.324567,0.00285
1278,1776147902144,14.201335,-453.536,66.445,417.62,-0.170839,0.734264,-0.597646,0.272928,-0.459708,1.975818,-1.608195,-0.453536,0.066445,0.41762,1.003515,2.323589,0.003137
1279,1776147902155,14.212446,-453.523,66.52,417.618,-0.170414,0.734192,-0.597795,0.273063,-0.458533,1.975488,-1.608486,-0.453523,0.06652,0.417618,1.003749,2.323084,0.00326
1280,1776147902166,14.223557,-453.511,66.633,417.585,-0.170389,0.733634,-0.598127,0.273849,-0.458281,1.973199,-1.608737,-0.453511,0.066633,0.417585,1.003893,2.322004,0.003488
1281,1776147902177,14.234669,-453.497,66.688,417.578,-0.170802,0.734476,-0.597102,0.27357,-0.459459,1.975745,-1.606207,-0.453497,0.066688,0.417578,1.003985,2.321521,0.003726
1282,1776147902188,14.24578,-453.491,66.762,417.552,-0.170685,0.733812,-0.597623,0.274288,-0.458977,1.973239,-1.607022,-0.453491,0.066762,0.417552,1.004089,2.320954,0.003795
1283,1776147902199,14.256891,-453.467,66.907,417.546,-0.170256,0.734152,-0.597478,0.27396,-0.457898,1.974481,-1.606901,-0.453467,0.066907,0.417546,1.004415,2.319938,0.004107
1284,1776147902211,14.268002,-453.446,66.957,417.549,-0.170769,0.734126,-0.597053,0.274635,-0.459121,1.973736,-1.605209,-0.453446,0.066957,0.417549,1.004557,2.319459,0.004163
