FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
156,1769517771818,1.733353,-4.3155,457.9554,-236.9452,0.702162,0.290329,-0.266089,0.59319,1.632346,0.67494,-0.618587,-0.441794,-0.160416,0.196153,2.034621,-2.361328,0.139069,-0.445108,-0.162247,0.196304,-2.110198,2.28231,-0.204841
157,1769517771829,1.744465,-4.5373,457.6793,-236.4603,0.702163,0.290363,-0.266238,0.593106,1.632403,0.675042,-0.618955,-0.441738,-0.160102,0.196137,2.034518,-2.361431,0.139094,-0.445244,-0.16171,0.196057,-2.110376,2.281899,-0.204633
158,1769517771840,1.755576,-4.8547,457.9083,-236.5236,0.70211,0.289894,-0.266785,0.593152,1.632249,0.673938,-0.620217,-0.441591,-0.159569,0.196042,2.034683,-2.361551,0.139231,-0.444861,-0.161384,0.196244,-2.109596,2.281101,-0.201711
159,1769517771851,1.766687,-5.3442,457.7262,-236.2367,0.702029,0.29,-0.266601,0.593279,1.631975,0.674149,-0.619755,-0.441524,-0.159303,0.196049,2.034663,-2.361576,0.139178,-0.444744,-0.160879,0.196057,-2.109817,2.28151,-0.202224
160,1769517771862,1.777798,-5.5324,457.5404,-235.9628,0.701855,0.290351,-0.266222,0.593483,1.631434,0.67491,-0.618822,-0.44146,-0.159036,0.196019,2.034666,-2.361611,0.13923,-0.444919,-0.160633,0.19589,-2.110615,2.282215,-0.203707
161,1769517771873,1.78891,-5.9466,457.5926,-235.7423,0.701931,0.290293,-0.266188,0.593436,1.631642,0.674788,-0.618756,-0.441345,-0.158526,0.196017,2.03467,-2.361519,0.139172,-0.444709,-0.16021,0.195934,-2.110379,2.2823,-0.203815
162,1769517771885,1.800021,-6.1264,457.5138,-235.4466,0.701924,0.290136,-0.266405,0.593424,1.631635,0.674427,-0.619263,-0.441263,-0.158236,0.195995,2.034669,-2.361547,0.139213,-0.44473,-0.159802,0.195865,-2.11013,2.281938,-0.202794
163,1769517771896,1.811132,-6.5223,457.4274,-235.1032,0.702376,0.290094,-0.26635,0.592935,1.633013,0.674464,-0.61926,-0.441194,-0.157931,0.195925,2.034627,-2.36167,0.139395,-0.44449,-0.15937,0.195791,-2.109583,2.281741,-0.204124
164,1769517771907,1.822244,-6.8496,457.2896,-234.745,0.701957,0.290432,-0.266169,0.593347,1.631762,0.675136,-0.618735,-0.441081,-0.157334,0.195874,2.034662,-2.361713,0.139372,-0.444662,-0.158894,0.195663,-2.11069,2.28217,-0.204398
165,1769517771918,1.833355,-7.1781,457.6207,-234.6437,0.702091,0.289932,-0.266694,0.593196,1.632176,0.674015,-0.619992,-0.44102,-0.157061,0.195856,2.034682,-2.361698,0.139334,-0.444296,-0.158469,0.195969,-2.109652,2.281302,-0.201981
