FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,X_mm_filtered,Y_mm_filtered,Z_mm_filtered,QX_filtered,QY_filtered,QZ_filtered,QW_filtered
84,1769790336298,0.942923,616.7913,245.6905,-422.7496,0.691736,0.196970,-0.125432,0.683353,1.550913,0.441619,-0.281227,0.149534,-0.433732,0.291218,3.053466,0.356141,0.151384,616.835586,245.870205,-422.744019,0.691639,0.196909,-0.125388,0.683476
85,1769790336310,0.954034,616.7820,246.1444,-422.6398,0.691720,0.197098,-0.125712,0.683281,1.550921,0.441918,-0.281862,0.149620,-0.433664,0.291324,3.053578,0.358063,0.151538,616.782757,246.049124,-422.713924,0.691674,0.197168,-0.125682,0.683313
86,1769790336321,0.965145,616.8383,246.2702,-422.7098,0.691635,0.197393,-0.125931,0.683241,1.550756,0.442587,-0.282358,0.149676,-0.433645,0.291427,3.053470,0.358945,0.151704,616.769695,246.213414,-422.702629,0.691684,0.197382,-0.125969,0.683187
87,1769790336332,0.976256,616.7938,246.3348,-422.7246,0.691591,0.197624,-0.126210,0.683167,1.550702,0.443118,-0.282991,0.149764,-0.433598,0.291544,3.053478,0.360685,0.151778,616.919076,246.317057,-422.682490,0.691589,0.197608,-0.126238,0.683168
88,1769790336343,0.987368,617.0610,246.3168,-422.6840,0.691646,0.197822,-0.126550,0.682991,1.550932,0.443593,-0.283773,0.149786,-0.433567,0.291597,3.053521,0.361428,0.151775,617.109843,246.336324,-422.647757,0.691583,0.197848,-0.126503,0.683057
89,1769790336354,0.998479,617.4712,246.3372,-422.5383,0.691540,0.198074,-0.126757,0.682988,1.550696,0.444157,-0.284238,0.149883,-0.433507,0.291662,3.053648,0.362960,0.152007,617.326171,246.458052,-422.611295,0.691732,0.198035,-0.126761,0.682804
90,1769790336365,1.009590,617.4144,246.6356,-422.5689,0.691878,0.198231,-0.126951,0.682563,1.551712,0.444584,-0.284721,0.149889,-0.433494,0.291696,3.053700,0.363487,0.152060,617.414424,246.571038,-422.586248,0.691825,0.198251,-0.126961,0.682609
91,1769790336376,1.020701,617.4522,246.8077,-422.6595,0.692087,0.198408,-0.127160,0.682261,1.552365,0.445034,-0.285223,0.149938,-0.433475,0.291753,3.053637,0.364196,0.152074,617.385343,246.688800,-422.571576,0.691825,0.198451,-0.127168,0.682513
92,1769790336387,1.031812,617.1813,246.6714,-422.5905,0.691662,0.198701,-0.127286,0.682583,1.551216,0.445633,-0.285469,0.149997,-0.433432,0.291843,3.053615,0.365364,0.152195,617.382610,246.800919,-422.658957,0.691846,0.198626,-0.127287,0.682419
93,1769790336398,1.042924,617.4388,246.8109,-422.6161,0.691661,0.198781,-0.127534,0.682515,1.551254,0.445825,-0.286034,0.150010,-0.433422,0.291863,3.053669,0.365819,0.152261,617.412319,246.805505,-422.666224,0.691760,0.198832,-0.127428,0.682419
